Z,Y,X,Red,Green,Blue,Size
0,53,327,161,143,150,1
0,53,328,152,141,128,1
0,53,329,116,104,102,1
0,53,330,107,111,107,1
0,53,331,96,75,60,1
0,53,332,59,59,60,1
0,54,60,45,57,75,1
0,54,61,81,85,95,1
0,54,62,117,114,95,1
0,54,63,90,95,103,1
0,54,64,97,86,75,1
0,54,65,95,113,137,1
0,54,66,152,152,155,1
0,54,67,165,161,151,1
0,54,68,135,126,145,1
0,54,69,156,154,155,1
0,54,70,156,161,175,1
0,54,71,161,153,165,1
0,54,72,155,135,129,1
0,54,73,127,114,107,1
0,54,74,108,110,101,1
0,54,75,97,86,71,1
0,54,76,71,68,64,1
0,54,188,54,70,80,1
0,54,189,94,100,111,1
0,54,190,115,104,97,1
0,54,191,103,106,95,1
0,54,192,92,89,84,1
0,54,193,93,108,127,1
0,54,194,138,147,149,1
0,54,195,187,177,156,1
0,54,196,149,147,155,1
0,54,197,161,172,154,1
0,54,198,148,159,159,1
0,54,199,160,174,181,1
0,54,200,158,139,134,1
0,54,201,138,127,108,1
0,54,202,102,107,104,1
0,54,203,100,89,68,1
0,54,204,66,65,57,1
0,54,316,61,83,93,1
0,54,317,108,103,120,1
0,54,318,127,116,113,1
0,54,319,119,114,105,1
0,54,320,100,90,89,1
0,54,321,96,115,132,1
0,54,322,134,150,145,1
0,54,323,163,168,160,1
0,54,324,157,157,163,1
0,54,325,165,163,149,1
0,54,326,149,153,145,1
0,54,327,153,170,170,1
0,54,328,168,152,149,1
0,54,329,146,134,125,1
0,54,330,115,113,107,1
0,54,331,107,96,75,1
0,54,332,70,63,58,1
0,54,333,53,50,44,1
0,55,59,39,45,55,1
0,55,60,66,85,100,1
0,55,61,112,107,118,1
0,55,62,131,130,130,1
0,55,63,125,110,104,1
0,55,64,112,98,90,1
0,55,65,88,102,130,1
0,55,66,138,154,157,1
0,55,67,161,154,158,1
0,55,68,149,146,154,1
0,55,69,151,151,153,1
0,55,70,156,148,150,1
0,55,71,143,151,153,1
0,55,72,160,163,150,1
0,55,73,147,145,133,1
0,55,74,122,114,102,1
0,55,75,103,104,85,1
0,55,76,79,69,65,1
0,55,77,62,57,50,1
0,55,187,38,51,70,1
0,55,188,81,95,105,1
0,55,189,109,116,123,1
0,55,190,128,145,159,1
0,55,191,147,124,116,1
0,55,192,117,99,84,1
0,55,193,88,109,141,1
0,55,194,140,144,170,1
0,55,195,177,166,163,1
0,55,196,153,156,148,1
0,55,197,138,157,158,1
0,55,198,150,142,144,1
0,55,199,137,146,146,1
0,55,200,154,161,147,1
0,55,201,140,146,140,1
0,55,202,127,117,101,1
0,55,203,103,103,87,1
0,55,204,75,65,60,1
0,55,205,61,63,43,1
0,55,315,42,54,74,1
0,55,316,90,95,97,1
0,55,317,104,117,130,1
0,55,318,131,140,144,1
0,55,319,141,119,116,1
0,55,320,109,100,84,1
0,55,321,85,120,147,1
0,55,322,146,149,155,1
0,55,323,155,154,157,1
0,55,324,148,159,148,1
0,55,325,143,159,157,1
0,55,326,160,151,140,1
0,55,327,135,155,156,1
0,55,328,155,146,142,1
0,55,329,144,148,144,1
0,55,330,137,121,109,1
